task_norm,occupation_norm,year,company_year_count
accept payment on accounts,loan interviewers and clerks,2012,1
accept payment on accounts,loan interviewers and clerks,2014,2
accept payment on accounts,loan interviewers and clerks,2015,1
accept payment on accounts,loan interviewers and clerks,2016,2
accept payment on accounts,loan interviewers and clerks,2017,5
accept payment on accounts,loan interviewers and clerks,2018,6
accept payment on accounts,loan interviewers and clerks,2019,2
accept payment on accounts,loan interviewers and clerks,2020,5
accept payment on accounts,loan interviewers and clerks,2021,8
accept payment on accounts,loan interviewers and clerks,2022,19
accept payment on accounts,loan interviewers and clerks,2023,26
accept payment on accounts,loan interviewers and clerks,2024,29
accept payment on accounts,loan interviewers and clerks,2025,14
access computerized financial information to answer general questions as well as those related to specific accounts,"bookkeeping, accounting, and auditing clerks",2014,2
access computerized financial information to answer general questions as well as those related to specific accounts,"bookkeeping, accounting, and auditing clerks",2015,2
access computerized financial information to answer general questions as well as those related to specific accounts,"bookkeeping, accounting, and auditing clerks",2016,2
access computerized financial information to answer general questions as well as those related to specific accounts,"bookkeeping, accounting, and auditing clerks",2017,4
access computerized financial information to answer general questions as well as those related to specific accounts,"bookkeeping, accounting, and auditing clerks",2018,2
access computerized financial information to answer general questions as well as those related to specific accounts,"bookkeeping, accounting, and auditing clerks",2019,5
access computerized financial information to answer general questions as well as those related to specific accounts,"bookkeeping, accounting, and auditing clerks",2020,12
access computerized financial information to answer general questions as well as those related to specific accounts,"bookkeeping, accounting, and auditing clerks",2021,6
access computerized financial information to answer general questions as well as those related to specific accounts,"bookkeeping, accounting, and auditing clerks",2022,12
access computerized financial information to answer general questions as well as those related to specific accounts,"bookkeeping, accounting, and auditing clerks",2023,27
access computerized financial information to answer general questions as well as those related to specific accounts,"bookkeeping, accounting, and auditing clerks",2024,32
access computerized financial information to answer general questions as well as those related to specific accounts,"bookkeeping, accounting, and auditing clerks",2025,13
adapt or design computer hardware or software for medical science uses,bioengineers and biomedical engineers,2007,1
adapt or design computer hardware or software for medical science uses,bioengineers and biomedical engineers,2012,1
adapt or design computer hardware or software for medical science uses,bioengineers and biomedical engineers,2014,1
adapt or design computer hardware or software for medical science uses,bioengineers and biomedical engineers,2015,5
adapt or design computer hardware or software for medical science uses,bioengineers and biomedical engineers,2016,1
adapt or design computer hardware or software for medical science uses,bioengineers and biomedical engineers,2018,4
adapt or design computer hardware or software for medical science uses,bioengineers and biomedical engineers,2019,6
adapt or design computer hardware or software for medical science uses,bioengineers and biomedical engineers,2020,6
adapt or design computer hardware or software for medical science uses,bioengineers and biomedical engineers,2021,5
adapt or design computer hardware or software for medical science uses,bioengineers and biomedical engineers,2022,7
adapt or design computer hardware or software for medical science uses,bioengineers and biomedical engineers,2023,8
adapt or design computer hardware or software for medical science uses,bioengineers and biomedical engineers,2024,12
adapt or design computer hardware or software for medical science uses,bioengineers and biomedical engineers,2025,2
"address envelopes or prepare envelope labels, using typewriter or computer",word processors and typists,2007,1
"address envelopes or prepare envelope labels, using typewriter or computer",word processors and typists,2010,1
"address envelopes or prepare envelope labels, using typewriter or computer",word processors and typists,2014,1
"address envelopes or prepare envelope labels, using typewriter or computer",word processors and typists,2016,1
"address envelopes or prepare envelope labels, using typewriter or computer",word processors and typists,2018,3
"address envelopes or prepare envelope labels, using typewriter or computer",word processors and typists,2019,5
"address envelopes or prepare envelope labels, using typewriter or computer",word processors and typists,2020,8
"address envelopes or prepare envelope labels, using typewriter or computer",word processors and typists,2021,6
"address envelopes or prepare envelope labels, using typewriter or computer",word processors and typists,2022,8
"address envelopes or prepare envelope labels, using typewriter or computer",word processors and typists,2023,19
"address envelopes or prepare envelope labels, using typewriter or computer",word processors and typists,2024,15
