task_norm,occupation_norm,year,paper_year_count
accept payment on accounts,loan interviewers and clerks,2024.0,1
accept payment on accounts,loan interviewers and clerks,2025.0,1
access computerized financial information to answer general questions as well as those related to specific accounts,"bookkeeping, accounting, and auditing clerks",2023.0,5
access computerized financial information to answer general questions as well as those related to specific accounts,"bookkeeping, accounting, and auditing clerks",2024.0,23
access computerized financial information to answer general questions as well as those related to specific accounts,"bookkeeping, accounting, and auditing clerks",2025.0,14
adapt or design computer hardware or software for medical science uses,bioengineers and biomedical engineers,2023.0,24
adapt or design computer hardware or software for medical science uses,bioengineers and biomedical engineers,2024.0,111
adapt or design computer hardware or software for medical science uses,bioengineers and biomedical engineers,2025.0,42
"address envelopes or prepare envelope labels, using typewriter or computer",word processors and typists,2024.0,3
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols",mathematicians,2023.0,11
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols",mathematicians,2024.0,25
"address the relationships of quantities, magnitudes, and forms through the use of numbers and symbols",mathematicians,2025.0,15
"adjust controls to position rod and to regulate flux level, reactor period, coolant temperature, or rate of power flow, following standard procedures",nuclear power reactor operators,2024.0,5
"adjust controls to position rod and to regulate flux level, reactor period, coolant temperature, or rate of power flow, following standard procedures",nuclear power reactor operators,2025.0,1
adjust inventory records to reflect product movement,order clerks,2023.0,1
adjust inventory records to reflect product movement,order clerks,2024.0,5
"adjust remotely sensed images for optimum presentation by using software to select image displays, define image set categories, or choose processing routines",remote sensing technicians,2023.0,12
"adjust remotely sensed images for optimum presentation by using software to select image displays, define image set categories, or choose processing routines",remote sensing technicians,2024.0,35
"adjust remotely sensed images for optimum presentation by using software to select image displays, define image set categories, or choose processing routines",remote sensing technicians,2025.0,18
adjust reserves or provide reserve recommendations to ensure that reserve activities are consistent with corporate policies,"claims adjusters, examiners, and investigators",2024.0,8
adjust reserves or provide reserve recommendations to ensure that reserve activities are consistent with corporate policies,"claims adjusters, examiners, and investigators",2025.0,5
